,CREATED_AT,USER,REVIEW,LIKES,RETWEETS,LOCATION
0,2022-07-26 21:30,Sony,"So, how well do you know Luffy?

Test your @OnePieceAnime knowledge with this quiz from @crunchyroll: https://t.co/NyKT7HrNDP https://t.co/0n6W22CFka",78,9,"New York, NY"
1,2022-07-25 22:45,Sony,"RT @BetterCallSaul: Bring a jacket. 

A new #BetterCallSaul starts tonight at 9pm on @AMC_TV and @AMCPlus. https://t.co/VxCWH0JpwV",0,1522,"New York, NY"
